anoMes;codigoPessoa;nomePessoa;tipoPessoa;municipioPessoa;siglaUFPessoa;codigoUG;nomeUG;codigoOrgao;nomeOrgao;codigoOrgaoSuperior;nomeOrgaoSuperior;valor;_anoConsulta
202006;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;19287046.07;2020
202009;31.825.156/0001-35;NAUTICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;15400.51;2020
202009;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1613038.73;2020
202006;82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;250110;SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;108.95;2020
202001;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;9371913.96;2020
202006;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;158516;INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC;26438;Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina;26000;Ministério da Educação;10004.05;2020
202001;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1592167.36;2020
202008;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;330013;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;55001;Fundo Nacional de Assistência Social;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;568736.84;2020
202011;84.291.137/0001-32;RADIO DIFUSORA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;250110;SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;148.02;2020
202007;84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;390004;SUBSECRETARIA PLAN.,ORC.E ADM.-ADMINISTRATIVO;39000;Ministério dos Transportes - Unidades com vínculo direto;39000;Ministério dos Transportes;1034.82;2020
202004;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;330013;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;55001;Fundo Nacional de Assistência Social;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;80904.21;2020
