sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;23050;AGENOR DA SILVA JUNIOR;CIDADANIA;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001977151;2045202024;SUL;272
SC;ITAJAÍ;Vereador;23333;CARLOS EDUARDO FERNANDES DOS SANTOS;CIDADANIA;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904934;2045202024;SUL;60
SC;ITAJAÍ;Vereador;27229;SANDRA REGINA GARRIDO;DC;DC;1;Não eleito;13;81612;240001939706;2045202024;SUL;18
SC;ITAJAÍ;Vereador;36333;ADRIANA MARIA FELIPE;AGIR;AGIR;1;Não eleito;13;81612;240001944223;2045202024;SUL;56
SC;ITAJAÍ;Vereador;12777;JULIO DA SILVA;PDT;PDT;1;Suplente;13;81612;240002115243;2045202024;SUL;711
SC;ITAJAÍ;Vereador;25255;FABIANA BENTO;PRD;PRD;1;Suplente;13;81612;240001881290;2045202024;SUL;162
SC;ITAJAÍ;Vereador;22222;DULCE MARIA AMARAL PEREIRA;PL;PL;1;Suplente;13;81612;240001899294;2045202024;SUL;1445
SC;ITAJAÍ;Vereador;44900;RODRIGO LAMIM;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974260;2045202024;SUL;567
SC;ITAJAÍ;Vereador;44345;EZEQUIEL JOÃO GONÇALVES;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974274;2045202024;SUL;424
SC;ITAJAÍ;Vereador;20777;CLAUBERTO SANTOS MOURA;PODE;PODE;1;Não eleito;13;81612;240002279350;2045202024;SUL;146
SC;ITAJAÍ;Vereador;20222;PAULO AFONSO CUNHA;PODE;PODE;1;Não eleito;13;81612;240002279363;2045202024;SUL;128
SC;ITAJAÍ;Vereador;22192;VICTOR RIBEIRO DO NASCIMENTO;PL;PL;1;Eleito por QP;13;81612;240001899304;2045202024;SUL;2155
SC;ITAJAÍ;Vereador;10500;ROBERTO RIVELINO DA CUNHA;REPUBLICANOS;REPUBLICANOS;1;Eleito por QP;13;81612;240001960678;2045202024;SUL;1414
SC;ITAJAÍ;Vereador;27278;VALCEIR BATISTA DE OLIVEIRA;DC;DC;1;Não eleito;13;81612;240001939714;2045202024;SUL;44
SC;ITAJAÍ;Vereador;22522;JULIANO MARIO TEIXEIRA;PL;PL;1;Suplente;13;81612;240001899292;2045202024;SUL;492
